Date,Open,Low,Close,Volume
2016-05-12,732.0,724.27002,728.070007,1354700
2016-05-13,726.619995,723.51001,724.830017,1262200
2016-05-16,724.320007,720.0,730.299988,1126900
2016-05-17,731.059998,718.0,720.190002,1670200
2016-05-18,718.5,715.02002,721.780029,1626800
2016-05-19,718.299988,710.309998,715.309998,1529900
2016-05-20,716.460022,715.01001,721.710022,1739900
2016-05-23,719.97998,716.940002,717.25,1233400
2016-05-24,719.849976,719.650024,733.030029,1894200
2016-05-25,735.0,732.599976,738.099976,1610800
2016-05-26,736.0,733.0,736.929993,1298300
2016-05-27,737.51001,737.01001,747.599976,1740100
2016-05-31,748.76001,745.570007,748.849976,2124200
2016-06-01,748.469971,744.340027,748.460022,1039400
2016-06-02,746.099976,737.0,744.27002,1693700
2016-06-03,741.48999,733.909973,735.859985,1230400
2016-06-06,738.5,728.289978,730.059998,1499600
2016-06-07,733.27002,730.799988,731.090027,1215700
2016-06-08,739.5,735.77002,742.929993,1615700
2016-06-09,737.070007,736.5,742.52002,959000
2016-06-10,735.950012,730.51001,733.190002,1452500
2016-06-13,729.820007,729.820007,731.880005,1167700
2016-06-14,729.309998,726.5,733.25,1329200
2016-06-15,734.919983,731.309998,732.190002,1161700
2016-06-16,727.960022,715.539978,724.25,2250100
2016-06-17,721.390015,701.119995,704.25,4113100
2016-06-20,710.309998,705.409973,706.130005,2282700
2016-06-21,710.049988,704.659973,708.880005,1515900
2016-06-22,714.049988,705.880005,710.469971,1452900
2016-06-23,710.549988,700.25,714.869995,2125000
2016-06-24,690.169983,684.909973,685.200012,4771800
2016-06-27,682.48999,672.659973,681.140015,2907300
2016-06-28,691.369995,684.849976,691.26001,1912300
2016-06-29,694.26001,692.679993,695.190002,2156200
2016-06-30,697.650024,694.900024,703.530029,2112500
2016-07-01,705.099976,703.72998,710.25,1549200
2016-07-05,705.01001,699.130005,704.890015,1422000
2016-07-06,699.840027,699.0,708.969971,1445100
2016-07-07,710.109985,700.669983,707.26001,1057600
2016-07-08,710.559998,708.109985,717.780029,1497300
2016-07-11,719.419983,718.869995,727.200012,1441100
2016-07-12,731.919983,727.5,732.51001,1323400
2016-07-13,735.52002,729.02002,729.47998,1021800
2016-07-14,733.940002,730.590027,735.799988,1070400
2016-07-15,741.0,734.640015,735.630005,1617100
2016-07-18,737.909973,736.51001,753.200012,1934900
2016-07-19,749.869995,748.48999,753.409973,1521800
2016-07-20,754.049988,754.049988,757.080017,1125100
2016-07-21,757.0,751.52002,754.409973,953100
2016-07-22,757.320007,752.659973,759.280029,1046000
2016-07-25,757.679993,754.070007,757.52002,1073300
2016-07-26,757.52002,752.75,757.650024,1189600
2016-07-27,758.969971,755.929993,761.969971,1576200
2016-07-28,768.840027,759.090027,765.840027,3673200
2016-07-29,797.710022,790.0,791.340027,5090500
2016-08-01,786.669983,785.039978,800.940002,3029700
2016-08-02,797.330017,794.530029,800.119995,1996400
2016-08-03,796.469971,793.02002,798.919983,1460300
2016-08-04,798.23999,793.919983,797.25,1074900
2016-08-05,800.109985,797.809998,806.929993,1807300
2016-08-08,806.0,801.690002,805.22998,1221300
2016-08-09,804.48999,804.059998,807.47998,1607700
2016-08-10,807.049988,806.48999,808.48999,918500
2016-08-11,810.469971,806.0,808.200012,1281200
2016-08-12,805.090027,803.640015,807.049988,897300
2016-08-15,807.210022,804.030029,805.960022,929800
2016-08-16,803.5,797.0,801.190002,1057900
2016-08-17,800.0,796.299988,805.419983,1066100
2016-08-18,805.359985,801.630005,802.75,864600
2016-08-19,799.789978,796.880005,799.650024,1120800
2016-08-22,798.51001,794.330017,796.950012,852800
2016-08-23,800.47998,795.98999,796.590027,917500
